Date,Title,Artist
2000-01-29,Because You Love Me,Jo Dee Messina
2000-01-29,I Don't Wanna,Aaliyah
2000-01-29,I Like It,Sammie
2000-02-05,Love's The Only House,Martina McBride
2000-02-05,This Woman Needs,SHeDAISY
2000-02-05,U Understand,Juvenile
2000-02-05,Candy,Mandy Moore
2000-02-05,Still D.R.E.,Dr. Dre Featuring Snoop Dogg
2000-02-12,Maria Maria,Santana Featuring The Product G&B
2000-02-12,Dear Lie,TLC
2000-02-12,Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe
2000-02-12,Otherside,Red Hot Chili Peppers
2000-02-12,No Leaf Clover,Metallica
2000-02-12,Freakin' It,Will Smith
2000-02-12,"Left, Right, Left",Drama
2000-02-19,American Pie,Madonna
2000-02-19,Only God Knows Why,Kid Rock
2000-02-19,I Try,Macy Gray
2000-02-19,Another Dumb Blonde,Hoku
2000-02-19,I Need A Hot Girl,Hot Boys
2000-02-19,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000-02-19,I Learned From The Best,Whitney Houston
2000-02-19,Do What You Gotta Do,Garth Brooks
2000-02-19,Been There,Clint Black With Steve Wariner
2000-02-26,Anything,JAY-Z
2000-02-26,You Sang To Me,Marc Anthony
2000-02-26,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz
2000-02-26,Party Up (Up In Here),DMX
2000-02-26,That's What I'm Looking For,Da Brat
2000-02-26,Stay Or Let It Go,Brian McKnight
2000-03-04,There You Go,P!nk
2000-03-04,Carlene,Phil Vassar
2000-03-04,Whoa!,Black Rob
2000-03-04,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
2000-03-04,It Was,Chely Wright
2000-03-04,Daddy Won't Sell The Farm,Montgomery Gentry
2000-03-04,Still In My Heart,Tracie Spencer
2000-03-04,Get Up,Amel Larrieux
2000-03-11,Private Emotion,Ricky Martin Featuring Meja
2000-03-11,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean
2000-03-11,The Way You Love Me,Faith Hill
2000-03-11,She's More,Andy Griggs
2000-03-18,Goodbye Earl,Dixie Chicks
2000-03-18,Try Again,Aaliyah
2000-03-18,He Wasn't Man Enough,Toni Braxton
2000-03-18,The Bad Touch,Bloodhound Gang
2000-03-18,Mr. Too Damn Good,Gerald Levert
2000-03-18,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE
2000-03-18,Couldn't Last A Moment,Collin Raye
2000-03-18,Whistle While You Twurk,Ying Yang Twins
2000-03-18,No Mercy,Ty Herndon
2000-03-25,You Owe Me,NAS Featuring Ginuwine
2000-03-25,I Wish,Carl Thomas
2000-03-25,I Belong To You,Lenny Kravitz
2000-03-25,Can't Stay,Dave Hollister
2000-03-25,Shackles (Praise You),Mary Mary
2000-03-25,Unconditional,Clay Davidson
2000-03-25,If You Don't Wanna Love Me,Tamar Braxton
2000-04-01,Be With You,Enrique Iglesias
2000-04-01,Where You Are,Jessica Simpson Featuring Nick Lachey
2000-04-01,What I Need To Do,Kenny Chesney
2000-04-01,Real Live Woman,Trisha Yearwood
2000-04-01,Mirror Mirror,M2M
2000-04-01,I'm Outta Love,Anastacia
2000-04-01,Swear It Again,Westlife
2000-04-08,Crash And Burn,Savage Garden
2000-04-08,Better Off Alone,Alice Deejay
2000-04-08,Purest Of Pain (A Puro Dolor),Son By Four
2000-04-08,Kryptonite,3 Doors Down
2000-04-08,Yes!,Chad Brock
2000-04-15,I Turn To You,Christina Aguilera
2000-04-15,Wobble Wobble,504 Boyz
2000-04-15,I Don't Wanna Kiss You Goodnight,LFO
2000-04-15,The Chain Of Love,Clay Walker
2000-04-15,Graduation (Friends Forever),Vitamin C
2000-04-15,Best Of Me,Mya Featuring Jadakiss
2000-04-15,Give Me You,Mary J. Blige
2000-04-22,This Time Around,Hanson
2000-04-22,Someday Out Of The Blue,Elton John
2000-04-22,Oops!...I Did It Again,Britney Spears
2000-04-22,Big Pimpin',Jay-Z Featuring UGK
2000-04-22,Broadway,Goo Goo Dolls
2000-04-22,Where I Wanna Be,Donell Jones
