,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
4579,Lainey Wilson,Things A Man Oughta Know,5QS8PNEWbqTEZyQ6e9ZbJf,70,2021,country,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,203373,4,True
4580,Kim McVicar,"Babies, Babies, Babies",3apekmxDV0FLXmk4kLWKLc,11,2020,comedy,0.613,0.507,1,-12.949,1,0.939,0.84,0.0,0.849,0.507,92.773,272276,3,False
4581,Ocean Sounds,أصوات المحيط,61IU7HlMBR3AqnMLlKlhPw,28,2020,sleep,0.152,0.922,9,-29.097,1,0.0502,0.589,0.974,0.919,1e-05,103.946,104025,4,False
4582,Driicky Graham,Snap Backs & Tattoos,1YTO55iUyFqx1QgcWXArLB,40,2012,hip-hop,0.856,0.694,10,-3.797,0,0.296,0.124,0.0,0.0955,0.538,139.876,209840,4,True
4583,Frankie Ballard,Helluva Life,4mnuiEDq1ADXUTYWJxLo4B,48,2014,country,0.564,0.76,6,-5.667,1,0.0277,0.0676,0.0,0.144,0.528,134.015,231693,4,True
4584,Kishore Kumar,"Dekha Na Haye Re (From ""Bombay to Goa"")",7L58LCzGusn8o9G3BvvySy,25,2018,pop-film,0.536,0.763,5,-5.384,1,0.063,0.856,0.0,0.117,0.814,133.275,252861,4,False
4585,2Pac,Toss It Up - Nu-Mixx,6t04B15f7BjOXaBncHMkt7,20,2003,funk,0.808,0.813,6,-2.858,0,0.163,0.0817,0.0,0.344,0.738,91.966,290173,4,False
4586,Darius Rucker,History In The Making,1J4HTEFSDx9DWyJVH5uv1b,43,2008,country,0.475,0.718,0,-5.638,1,0.034,0.0373,0.0,0.326,0.453,157.722,209480,4,True
4587,Linda Ronstadt,King Of Bohemia,1YgDsMTD3TjmqK1jOedX2A,9,2006,singer-songwriter,0.505,0.176,9,-11.436,1,0.0283,0.837,9.32e-05,0.106,0.231,75.909,184692,4,False
4588,DJ Fixx,Droppin' Science,10kfdjcdg9rzuNK1yxILFU,9,2001,breakbeat,0.78,0.802,6,-8.787,0,0.0588,0.000306,0.842,0.0339,0.309,135.99,496353,4,False
4589,Anja Garbarek,Can I Keep Him?,51Swz4wY4zJFPLHXSBLH2j,0,2021,trip-hop,0.489,0.375,0,-11.51,1,0.0264,0.0536,0.183,0.0975,0.137,94.943,205920,4,False
4590,Herz Analog,애정결핍,57QPgMBLy5LeXryylkyh9X,41,2014,folk,0.729,0.398,7,-8.327,1,0.0285,0.341,0.0012,0.241,0.372,115.939,290296,4,False
4591,Sherwin Gardner,Declare & Decree,2TbVJj4FOPRWTwCASlxmuE,19,2015,gospel,0.4,0.635,2,-8.192,1,0.234,0.000132,0.0,0.416,0.51,189.933,216032,4,False
4592,Dark Filth Fraternity,Blessed for my sins,1OiFr1qWZj8lLGECyZQ5en,0,2008,heavy-metal,0.263,0.878,1,-7.276,1,0.0604,0.000122,6.76e-05,0.294,0.545,104.297,268773,4,False
4593,袁鳳瑛,據說你走了,7wVUQjnY1987j8PYIKGhbx,0,2018,cantopop,0.761,0.46,9,-11.72,0,0.0302,0.44,1.43e-06,0.11,0.351,130.1,248870,4,False
4594,Plain White T's,Natural Disaster,3PMto2AVbf5PZtj5PGQZlA,27,2008,punk,0.556,0.759,7,-3.322,1,0.0331,0.0116,0.0,0.0716,0.638,127.788,220587,4,False
4595,P!nk,Never Gonna Not Dance Again,6sZo5nJIsFWXefRCCexpx0,77,2022,dance,0.668,0.802,5,-4.005,0,0.0917,0.0273,0.0,0.163,0.769,113.796,225789,4,True
4596,India.Arie,I Am Not My Hair,0Km0ae5ypDfPb7AcwE0tRU,38,2005,soul,0.845,0.5,10,-8.578,0,0.225,0.0336,0.0,0.365,0.538,98.261,230453,4,True
4597,Dimension Latina,Enamorado,1MKqvQ3zPW1vfm955z2TEe,5,2007,salsa,0.652,0.657,7,-5.527,1,0.036,0.782,0.0,0.288,0.827,148.866,154633,4,False
4598,Josh Gracin,I Want To Live,01LgFdcK1vtxStxkTP4Lej,26,2004,country,0.493,0.679,6,-4.438,1,0.0337,0.227,0.0,0.32,0.448,160.106,238893,4,True
4599,Coldplay,Talk,4wzt5Rrk3W98pHXAqutuJw,63,2005,pop,0.415,0.554,7,-10.839,0,0.0334,0.00541,0.00202,0.155,0.163,120.318,311292,4,True
4600,Potluck,Mary Jane,1m1tKKzFnd0IutoqmxgSz1,20,2006,country,0.72,0.797,8,-6.887,0,0.269,0.0919,0.0,0.421,0.806,91.242,279627,4,False
4601,Hatebreed,Smash Your Enemies,25SOppMSoyW6cv7SR3wGHF,36,2002,alt-rock,0.225,0.858,0,-6.097,1,0.0909,1.24e-05,0.000555,0.0494,0.333,174.302,129533,3,False
4602,Andrey Exx,I Can't Dance,70M59uUigQFmXYImTnqjGp,35,2017,groove,0.861,0.584,5,-6.275,0,0.133,0.000566,0.576,0.0376,0.747,125.013,297985,4,False
4603,"Royce Da 5'9""",Wait,1PQFHVVTbRGwssE1MjcB1b,18,2016,hardcore,0.577,0.958,1,-3.964,1,0.225,0.0253,0.0,0.0862,0.548,104.43,192092,5,False
4604,Avril Lavigne,Don't Tell Me,0dEQaNYfp5G7Sflek2Qnde,57,2004,dance,0.523,0.795,4,-2.92,1,0.0386,0.00462,0.0,0.358,0.484,144.106,202013,4,True
4605,Morgan Wallen,Keith Whitley,1vcJdUJDM2NVXBsGncmLyh,76,2023,country,0.322,0.693,6,-4.366,1,0.0281,0.0884,0.000316,0.0853,0.228,83.233,187519,4,True
4606,Will Smith,Freakin' It,12t7erk13RjtdMJI0aiH11,18,2002,dance,0.872,0.807,1,-6.573,1,0.195,0.201,0.0,0.206,0.933,112.009,239227,4,True
4607,Anja Schneider,Addicted - GummiHz Remix,401d4p2Ts0SgiodNobf3Wd,0,2006,minimal-techno,0.817,0.61,1,-12.53,1,0.111,0.192,0.866,0.172,0.412,125.008,483853,4,False
4608,Flávio José,Cadê Você,5XRtc1t6Oc3ZbDU15SQgFr,6,2015,forro,0.674,0.874,9,-6.233,1,0.0536,0.669,0.0,0.385,0.878,110.993,228440,4,False
4609,Kenny Chesney,Young,3tHPjLBakLS48aumhFpJMt,52,2002,country,0.684,0.84,9,-5.753,1,0.0433,0.0278,0.0,0.329,0.682,125.801,235733,4,True
4610,Pablo Bolivar,Backen Punch - Pedro Capelossi Remix,2wnBHXHcomN8n3QNUW0fZs,8,2023,minimal-techno,0.649,0.568,4,-12.65,0,0.0326,0.0377,0.861,0.827,0.149,116.98,482060,4,False
4611,Angie Stone,Wish I Didn't Miss You,1JppvdnOy6a34dZFHS5Q2H,24,2013,soul,0.853,0.75,7,-5.768,0,0.034,0.379,0.000704,0.189,0.824,123.922,270893,4,True
4612,Lorde,Green Light,6ie2Bw3xLj2JcGowOlcMhb,71,2017,pop,0.594,0.721,2,-7.812,1,0.0957,0.0209,8.55e-06,0.0879,0.253,128.942,234653,4,True
4613,Matt Maltese,Everyone Adores You (quiet),3eBHh35RljNlNtM3KhKhmM,45,2022,folk,0.605,0.163,5,-12.14,0,0.0346,0.984,0.0397,0.101,0.246,144.797,205944,4,False
4614,Rusko,Somebody To Love,4teaCv3ASF2ZxzNUP8fr0w,24,2012,dub,0.749,0.853,9,-5.832,1,0.285,0.0101,0.685,0.253,0.748,140.021,181760,4,False
4615,Gnarls Barkley,Crazy,2N5zMZX7YeL1tico8oQxa9,71,2006,hip-hop,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4,True
4616,Don Henley,Taking You Home,2Ro4mKGAO5zgfwZmThAWhj,44,2022,folk,0.565,0.511,4,-7.134,0,0.0267,0.395,1.36e-05,0.11,0.108,72.35,331600,4,True
4617,Goanna Gang,Pussy Cat|Pussy Cat,5yN7GMLIFTIEU9Fq16PIbg,1,2002,party,0.848,0.58,10,-13.937,1,0.0522,0.349,0.00185,0.0557,0.985,149.997,61453,1,False
4618,Ícaro e Gilmar,Falando Sério / Romance / Coisas Esotéricas (Ao Vivo),7qXKqxsmUyv6k48P1UDbpF,49,2020,sertanejo,0.57,0.704,0,-4.563,0,0.0331,0.754,0.0,0.611,0.668,126.387,325000,4,False
4619,Tim McGraw,Lookin' For That Girl,4tK5L8FD5Gl1dSwhzXuU6K,29,2014,country,0.494,0.843,6,-4.454,1,0.0342,0.00611,1.21e-05,0.0995,0.398,153.963,261347,4,True
